date,location,job_count
2026-01-17,Wien,372
2026-01-17,Linz,127
2026-01-17,Salzburg,102
2026-01-17,Graz,100
2026-01-17,Innsbruck,23
2026-01-17,Vorarlberg,22
2026-01-18,Wien,369
2026-01-18,Linz,125
2026-01-18,Salzburg,99
2026-01-18,Graz,98
2026-01-18,Innsbruck,23
2026-01-18,Vorarlberg,22
2026-01-19,Wien,366
2026-01-19,Linz,128
2026-01-19,Salzburg,99
2026-01-19,Graz,93
2026-01-19,Innsbruck,25
2026-01-19,Vorarlberg,22
2026-01-20,Wien,373
2026-01-20,Linz,129
2026-01-20,Salzburg,96
2026-01-20,Graz,95
2026-01-20,Innsbruck,26
2026-01-20,Vorarlberg,22
2026-01-21,Wien,376
2026-01-21,Linz,128
2026-01-21,Salzburg,96
2026-01-21,Graz,95
2026-01-21,Innsbruck,26
2026-01-21,Vorarlberg,22
2026-01-22,Wien,389
2026-01-22,Linz,131
2026-01-22,Salzburg,93
2026-01-22,Graz,96
2026-01-22,Innsbruck,28
2026-01-22,Vorarlberg,23
2026-01-23,Wien,390
2026-01-23,Linz,130
2026-01-23,Salzburg,94
2026-01-23,Graz,98
2026-01-23,Innsbruck,26
2026-01-23,Vorarlberg,24
2026-01-24,Wien,384
2026-01-24,Linz,129
2026-01-24,Salzburg,93
2026-01-24,Graz,98
2026-01-24,Innsbruck,26
2026-01-24,Vorarlberg,24
2026-01-25,Wien,381
2026-01-25,Linz,127
2026-01-25,Salzburg,93
2026-01-25,Graz,98
2026-01-25,Innsbruck,26
2026-01-25,Vorarlberg,24
2026-01-26,Wien,385
2026-01-26,Linz,136
2026-01-26,Salzburg,94
2026-01-26,Graz,94
2026-01-26,Innsbruck,25
2026-01-26,Vorarlberg,24
